fold,model_name,validation_accuracy_inner,test_accuracy_fold,num_training_samples_inner,num_validation_samples_inner,num_test_samples_fold,num_features_used,non-cancer_precision_test_fold,non-cancer_recall_test_fold,non-cancer_f1-score_test_fold,non-cancer_support_test_fold,cancer_precision_test_fold,cancer_recall_test_fold,cancer_f1-score_test_fold,cancer_support_test_fold,macro_avg_precision_test_fold,macro_avg_recall_test_fold,macro_avg_f1-score_test_fold,weighted_avg_precision_test_fold,weighted_avg_recall_test_fold,weighted_avg_f1-score_test_fold
1,RandomForestClassifier,0.7630057803468208,0.7630057803468208,517,173,173,36,0.75,0.06976744186046512,0.1276595744680851,43.0,0.7633136094674556,0.9923076923076923,0.862876254180602,130.0,0.7566568047337279,0.5310375670840787,0.49526791432434353,0.7600044464206314,0.7630057803468208,0.6801345361017683
2,RandomForestClassifier,0.7687861271676301,0.7745664739884393,517,173,173,36,0.8333333333333334,0.11627906976744186,0.20408163265306123,43.0,0.7724550898203593,0.9923076923076923,0.8686868686868687,130.0,0.8028942115768463,0.5542933810375671,0.536384250669965,0.7875866763582661,0.7745664739884393,0.7034959718692172
3,RandomForestClassifier,0.7572254335260116,0.7630057803468208,517,173,173,36,0.625,0.11627906976744186,0.19607843137254902,43.0,0.7696969696969697,0.9769230769230769,0.8610169491525423,130.0,0.6973484848484848,0.5466010733452594,0.5285476902625457,0.7337318269399195,0.7630057803468208,0.6957432135193649
4,RandomForestClassifier,0.7745664739884393,0.7325581395348837,518,173,172,36,0.3,0.07142857142857142,0.11538461538461539,42.0,0.7592592592592593,0.9461538461538461,0.8424657534246576,130.0,0.5296296296296297,0.5087912087912088,0.4789251844046365,0.647114556416882,0.7325581395348837,0.6649226848334845
5,RandomForestClassifier,0.7341040462427746,0.7616279069767442,518,173,172,36,0.6666666666666666,0.09302325581395349,0.16326530612244897,43.0,0.7650602409638554,0.9844961240310077,0.8610169491525423,129.0,0.7158634538152611,0.5387596899224806,0.5121411276374956,0.7404618473895582,0.7616279069767442,0.686579038395019
